Application Date,Decision Date,Visa Type,Applicant Nationality,Processing Center,Season,Application Complexity,Document Completeness,Expedited Request,Processing Time (Days),Visa Status
2024-01-16,2024-02-17,Business,China,Delhi,Off-Peak,1.0,1.0,1.0,32,Approved
2024-11-17,2025-01-21,Student,USA,Berlin,Off-Peak,1.0,0.0,0.0,65,Denied
2024-02-16,2024-03-09,Tourist,China,Beijing,Peak,,,1.0,22,Approved
2024-11-08,2024-12-07,Student,India,Mumbai,Off-Peak,0.0,1.0,1.0,29,Approved
2024-08-26,2024-09-21,Tourist,Germany,Berlin,Peak,0.0,0.0,1.0,26,Denied
2024-10-19,2024-11-15,Tourist,China,Berlin,Peak,1.0,1.0,1.0,27,Approved
2024-12-23,2025-03-19,Work,USA,Delhi,Off-Peak,,0.0,,86,Denied
2024-05-02,2024-05-27,Business,France,Delhi,Off-Peak,0.0,,0.0,25,Approved
2024-05-04,2024-07-18,Work,UK,Delhi,Peak,1.0,1.0,,75,Denied
2024-10-19,2024-11-30,Student,Brazil,Berlin,Off-Peak,0.0,0.0,1.0,42,Approved
2024-11-27,2025-01-04,Tourist,China,Sydney,Peak,1.0,1.0,0.0,38,Approved
2024-02-20,2024-04-02,Tourist,UK,Sydney,Peak,1.0,,1.0,42,Approved
2024-10-18,2024-11-29,Student,France,Beijing,Off-Peak,,1.0,1.0,42,Approved
2024-07-05,2024-08-08,Student,France,Sydney,Off-Peak,0.0,1.0,0.0,34,Approved
2024-12-26,2025-01-29,Tourist,Australia,London,Off-Peak,1.0,0.0,1.0,34,Denied
2024-02-12,2024-04-17,Work,USA,Beijing,Off-Peak,0.0,1.0,0.0,65,Approved
2024-08-10,2024-09-11,Student,Brazil,Berlin,Peak,0.0,1.0,,32,Denied
2024-06-17,2024-07-29,Business,Brazil,Paris,Peak,0.0,0.0,1.0,42,Approved
2024-12-17,2025-01-25,Student,Australia,Beijing,Peak,0.0,1.0,1.0,39,Approved
2024-04-06,2024-06-24,Work,China,Sydney,Off-Peak,1.0,1.0,0.0,79,Approved
2024-03-02,2024-04-12,Business,UK,London,Off-Peak,1.0,,1.0,41,Approved
2024-07-30,2024-10-01,Business,Germany,Beijing,Off-Peak,1.0,0.0,0.0,63,Approved
2024-03-04,2024-04-12,Tourist,UK,Berlin,Peak,0.0,0.0,0.0,39,Denied
2024-03-04,2024-03-23,Tourist,China,London,Off-Peak,1.0,1.0,1.0,19,Approved
2024-09-21,2024-12-08,Work,China,Sydney,Off-Peak,1.0,1.0,0.0,78,Approved
2024-02-26,2024-03-31,Tourist,China,Berlin,Off-Peak,0.0,,0.0,34,Denied
2024-11-21,2025-01-27,Student,China,Delhi,Off-Peak,,0.0,1.0,67,Denied
2024-09-16,2024-12-02,Student,Brazil,Beijing,Peak,,0.0,1.0,77,Approved
2024-05-19,2024-07-11,Business,China,London,Peak,0.0,0.0,0.0,53,Approved
2024-06-07,2024-08-28,Work,Brazil,Paris,Off-Peak,0.0,0.0,0.0,82,Denied
2024-01-20,2024-03-07,Business,France,London,Peak,0.0,0.0,0.0,47,Approved
2024-06-03,2024-08-08,Student,USA,Mumbai,Peak,0.0,0.0,0.0,66,Denied
2024-09-24,2024-10-30,Business,Brazil,Paris,Peak,1.0,1.0,1.0,36,Approved
2024-09-09,2024-11-25,Work,UK,Paris,Peak,0.0,0.0,1.0,77,Approved
2024-07-29,2024-10-08,Work,USA,Sydney,Off-Peak,1.0,1.0,0.0,71,Denied
2024-09-10,2024-10-29,Student,Germany,Berlin,Off-Peak,0.0,0.0,0.0,49,Approved
2024-10-03,2024-12-30,Work,Germany,Delhi,Off-Peak,,0.0,,88,Approved
2024-11-10,2025-01-14,Student,Germany,Sydney,Off-Peak,1.0,0.0,0.0,65,Approved
2024-10-04,2024-12-07,Student,USA,Sydney,Peak,1.0,0.0,1.0,64,Approved
2024-10-18,2024-11-06,Tourist,UK,Delhi,Off-Peak,0.0,1.0,0.0,19,Approved
2024-10-25,2024-11-27,Tourist,Germany,Delhi,Peak,0.0,0.0,1.0,33,Approved
2024-07-17,2024-09-26,Work,Australia,Berlin,Peak,1.0,1.0,,71,Denied
2024-07-05,2024-09-12,Work,India,London,Off-Peak,0.0,0.0,1.0,69,Approved
2024-07-11,2024-08-05,Business,Germany,London,Off-Peak,,1.0,1.0,25,Approved
2024-07-10,2024-08-24,Tourist,USA,Paris,Off-Peak,1.0,0.0,0.0,45,Approved
2024-09-01,2024-11-14,Student,USA,Mumbai,Off-Peak,1.0,0.0,,74,Denied
2024-02-27,2024-05-11,Work,UK,Paris,Off-Peak,0.0,0.0,0.0,74,Approved
2024-05-14,2024-05-17,Tourist,Australia,Paris,Off-Peak,0.0,1.0,1.0,3,Approved
2024-03-20,2024-05-05,Tourist,UK,Paris,Peak,1.0,0.0,1.0,46,Approved
2024-10-16,2024-12-19,Student,Australia,Sydney,Peak,,0.0,0.0,64,Denied
2024-06-16,2024-08-04,Business,India,Mumbai,Off-Peak,0.0,0.0,0.0,49,Approved
2024-10-16,2024-12-01,Business,China,Mumbai,Off-Peak,1.0,1.0,0.0,46,Approved
2024-12-16,2025-01-06,Tourist,Australia,Paris,Peak,0.0,1.0,0.0,21,Denied
2024-09-03,2024-11-01,Tourist,Germany,Paris,Peak,1.0,0.0,0.0,59,Denied
2024-03-12,2024-06-07,Work,France,Beijing,Off-Peak,1.0,0.0,1.0,87,Denied
2024-04-17,2024-07-03,Student,France,Berlin,Peak,1.0,0.0,0.0,77,Denied
2024-03-05,2024-04-25,Tourist,Germany,Delhi,Peak,,,,51,Approved
2024-06-26,2024-08-28,Work,Brazil,Berlin,Off-Peak,1.0,1.0,1.0,63,Approved
2024-06-17,2024-08-08,Student,Brazil,Sydney,Peak,0.0,0.0,1.0,52,Approved
2024-06-29,2024-08-30,Student,Brazil,Beijing,Off-Peak,0.0,0.0,0.0,62,Approved
2024-09-06,2024-10-15,Student,UK,Mumbai,Off-Peak,0.0,1.0,0.0,39,Approved
2024-09-04,2024-10-23,Business,USA,Delhi,Peak,,,0.0,49,Approved
2024-08-20,2024-11-14,Work,China,Sydney,Peak,1.0,,0.0,86,Approved
2024-02-11,2024-03-21,Business,UK,Delhi,Off-Peak,1.0,1.0,0.0,39,Approved
2024-12-26,2025-02-19,Work,Germany,Berlin,Off-Peak,0.0,,0.0,55,Denied
2024-04-15,2024-04-28,Tourist,USA,Mumbai,Peak,0.0,1.0,1.0,13,Approved
2024-03-16,2024-04-09,Tourist,China,London,Peak,0.0,1.0,0.0,24,Approved
2024-04-29,2024-05-31,Tourist,Brazil,Sydney,Peak,0.0,0.0,1.0,32,Approved
2024-06-06,2024-06-20,Business,India,London,Off-Peak,0.0,1.0,1.0,14,Approved
2024-06-06,2024-08-08,Student,India,Delhi,Off-Peak,0.0,0.0,,63,Approved
2024-08-05,2024-10-09,Tourist,India,Delhi,Peak,1.0,0.0,0.0,65,Approved
2024-01-31,2024-02-21,Business,UK,Sydney,Off-Peak,1.0,1.0,1.0,21,Approved
2024-07-28,2024-09-09,Student,Australia,Delhi,Off-Peak,0.0,0.0,1.0,43,Approved
2024-05-06,2024-08-01,Work,France,Beijing,Peak,,,0.0,87,Approved
2024-08-11,2024-10-18,Work,UK,Berlin,Peak,1.0,1.0,1.0,68,Approved
2024-09-19,2024-11-18,Student,Brazil,Sydney,Off-Peak,1.0,0.0,1.0,60,Approved
2024-01-24,2024-03-10,Student,USA,Berlin,Peak,1.0,1.0,1.0,46,Denied
2024-03-18,2024-05-10,Student,Brazil,Beijing,Peak,,1.0,1.0,53,Approved
2024-10-31,2024-11-21,Tourist,China,Mumbai,Peak,0.0,1.0,1.0,21,Approved
2024-02-28,2024-05-07,Business,India,Mumbai,Off-Peak,1.0,0.0,0.0,69,Denied
2024-01-23,2024-02-08,Business,Germany,Paris,Peak,0.0,1.0,1.0,16,Approved
2024-02-13,2024-03-01,Business,France,Beijing,Off-Peak,,1.0,1.0,17,Approved
2024-06-22,2024-08-16,Business,India,Mumbai,Off-Peak,1.0,0.0,1.0,55,Approved
2024-09-17,2024-10-16,Tourist,USA,London,Off-Peak,1.0,,0.0,29,Approved
2024-07-12,2024-07-21,Business,India,Berlin,Off-Peak,0.0,1.0,1.0,9,Approved
2024-02-28,2024-03-27,Tourist,UK,Mumbai,Peak,1.0,,1.0,28,Approved
2024-12-18,2025-03-31,Work,China,Delhi,Off-Peak,1.0,0.0,0.0,103,Denied
2024-08-24,2024-09-26,Business,Australia,Berlin,Off-Peak,1.0,,0.0,33,Approved
2024-07-11,2024-08-24,Business,India,Beijing,Peak,1.0,1.0,1.0,44,Approved
2024-08-29,2024-10-24,Work,India,Sydney,Peak,0.0,1.0,1.0,56,Approved
2024-04-19,2024-06-13,Work,Australia,Paris,Off-Peak,0.0,1.0,0.0,55,Approved
2024-05-02,2024-06-14,Student,Germany,Paris,Peak,1.0,1.0,1.0,43,Denied
2024-11-09,2025-01-19,Work,France,Paris,Peak,0.0,0.0,1.0,71,Denied
2024-10-08,2024-11-04,Business,UK,Delhi,Off-Peak,1.0,1.0,1.0,27,Denied
2024-02-05,2024-05-06,Work,USA,Beijing,Peak,0.0,0.0,0.0,91,Approved
2024-05-22,2024-06-23,Business,Germany,Berlin,Off-Peak,1.0,1.0,0.0,32,Approved
2024-09-05,2024-10-25,Work,UK,Mumbai,Off-Peak,0.0,1.0,1.0,50,Approved
2024-04-21,2024-06-02,Tourist,Germany,Berlin,Peak,1.0,0.0,1.0,42,Approved
2024-05-13,2024-08-14,Work,China,Paris,Peak,1.0,0.0,1.0,93,Approved
2024-11-25,2025-01-11,Business,Brazil,Paris,Peak,1.0,1.0,,47,Approved
2024-07-09,2024-08-30,Business,USA,London,Peak,1.0,0.0,1.0,52,Approved
2024-01-30,2024-02-25,Tourist,Germany,London,Off-Peak,1.0,1.0,0.0,26,Denied
2024-04-07,2024-05-29,Tourist,Australia,Mumbai,Off-Peak,,0.0,0.0,52,Approved
2024-07-27,2024-08-30,Student,Germany,Delhi,Peak,0.0,1.0,,34,Approved
2024-07-07,2024-08-22,Work,China,Paris,Off-Peak,0.0,1.0,1.0,46,Approved
2024-01-14,2024-02-12,Tourist,Germany,Berlin,Off-Peak,1.0,1.0,0.0,29,Denied
2024-11-20,2025-01-14,Student,India,Mumbai,Off-Peak,1.0,1.0,0.0,55,Denied
2024-12-08,2025-01-18,Tourist,China,Berlin,Peak,1.0,1.0,0.0,41,Denied
2024-08-02,2024-08-28,Tourist,France,Paris,Peak,0.0,0.0,1.0,26,Approved
2024-08-02,2024-10-08,Business,China,Beijing,Off-Peak,1.0,0.0,0.0,67,Denied
2024-11-23,2025-01-28,Work,USA,Delhi,Off-Peak,0.0,1.0,,66,Approved
2024-03-14,2024-04-28,Business,India,Beijing,Peak,1.0,1.0,1.0,45,Approved
2024-02-04,2024-04-08,Work,China,Delhi,Peak,0.0,,1.0,64,Approved
2024-09-07,2024-10-18,Student,Germany,Mumbai,Off-Peak,0.0,1.0,0.0,41,Approved
2024-05-16,2024-05-29,Tourist,Australia,Berlin,Off-Peak,,1.0,,13,Approved
2024-10-13,2024-11-15,Business,China,Berlin,Off-Peak,0.0,0.0,1.0,33,Denied
2024-04-07,2024-07-19,Work,USA,London,Peak,1.0,0.0,0.0,103,Denied
2024-06-21,2024-07-05,Tourist,Germany,Berlin,Off-Peak,0.0,1.0,0.0,14,Approved
2024-07-31,2024-08-16,Business,Australia,Beijing,Off-Peak,0.0,1.0,1.0,16,Approved
2024-08-15,2024-09-07,Tourist,USA,Berlin,Peak,1.0,1.0,1.0,23,Approved
2024-02-21,2024-04-13,Business,Germany,Sydney,Peak,0.0,0.0,0.0,52,Approved
2024-04-05,2024-04-26,Tourist,Brazil,London,Off-Peak,0.0,,1.0,21,Approved
2024-08-21,2024-10-08,Tourist,India,Sydney,Peak,1.0,0.0,1.0,48,Denied
2024-02-27,2024-03-02,Tourist,China,Sydney,Off-Peak,0.0,1.0,1.0,4,Approved
2024-11-25,2024-12-31,Business,Australia,Paris,Off-Peak,0.0,,0.0,36,Approved
2024-05-30,2024-08-10,Work,France,London,Off-Peak,,1.0,0.0,72,Denied
2024-10-06,2024-11-01,Business,USA,Berlin,Peak,0.0,1.0,0.0,26,Approved
2024-10-07,2024-11-28,Student,UK,Paris,Peak,0.0,0.0,1.0,52,Denied
2024-03-30,2024-04-07,Tourist,Germany,Sydney,Peak,0.0,1.0,1.0,8,Approved
2024-09-28,2024-12-13,Student,UK,Paris,Peak,1.0,0.0,0.0,76,Approved
2024-08-21,2024-11-10,Student,India,London,Peak,1.0,0.0,,81,Approved
2024-07-05,2024-09-02,Work,India,Sydney,Off-Peak,0.0,1.0,0.0,59,Approved
2024-06-15,2024-08-06,Work,USA,Delhi,Off-Peak,0.0,1.0,1.0,52,Approved
2024-07-09,2024-09-23,Work,France,Mumbai,Peak,,1.0,1.0,76,Denied
2024-03-17,2024-05-08,Tourist,France,Delhi,Peak,1.0,0.0,1.0,52,Denied
2024-08-03,2024-09-05,Tourist,UK,Paris,Peak,1.0,1.0,,33,Denied
2024-05-14,2024-07-08,Student,UK,Delhi,Off-Peak,0.0,0.0,0.0,55,Denied
2024-09-16,2024-12-02,Work,USA,Mumbai,Peak,1.0,,1.0,77,Approved
2024-03-08,2024-05-18,Business,UK,Beijing,Peak,,0.0,0.0,71,Approved
2024-01-01,2024-01-26,Business,India,Berlin,Off-Peak,1.0,1.0,1.0,25,Approved
2024-03-14,2024-05-28,Student,Brazil,Delhi,Peak,0.0,0.0,0.0,75,Approved
2024-07-14,2024-08-16,Student,Germany,Berlin,Off-Peak,0.0,1.0,0.0,33,Approved
2024-02-09,2024-04-12,Student,Australia,Paris,Peak,0.0,0.0,0.0,63,Approved
2024-01-15,2024-02-28,Student,UK,Beijing,Off-Peak,1.0,,1.0,44,Approved
2024-07-12,2024-09-04,Student,Australia,Sydney,Peak,1.0,,0.0,54,Approved
2024-03-15,2024-04-11,Tourist,UK,Berlin,Peak,0.0,,1.0,27,Approved
2024-09-15,2024-11-16,Work,China,London,Off-Peak,0.0,1.0,0.0,62,Approved
2024-06-16,2024-07-24,Student,USA,Beijing,Off-Peak,0.0,1.0,0.0,38,Denied
2024-11-22,2025-02-22,Work,China,Beijing,Peak,1.0,1.0,0.0,92,Approved
2024-07-30,2024-10-17,Work,UK,Sydney,Off-Peak,0.0,0.0,,79,Denied
2024-02-14,2024-04-03,Student,Australia,Delhi,Off-Peak,0.0,0.0,1.0,49,Approved
2024-12-25,2025-03-12,Work,Germany,Delhi,Off-Peak,1.0,1.0,0.0,77,Approved
2024-06-25,2024-08-05,Business,UK,Mumbai,Off-Peak,1.0,1.0,0.0,41,Approved
2024-03-30,2024-07-06,Work,Brazil,Beijing,Peak,0.0,0.0,0.0,98,Approved
2024-02-06,2024-04-13,Work,India,Mumbai,Peak,0.0,1.0,1.0,67,Approved
2024-02-03,2024-03-19,Student,Germany,Mumbai,Peak,0.0,1.0,0.0,45,Denied
2024-03-13,2024-06-16,Work,USA,Delhi,Peak,0.0,0.0,0.0,95,Approved
2024-10-20,2024-12-02,Tourist,UK,Delhi,Peak,1.0,1.0,0.0,43,Approved
2024-05-01,2024-05-29,Business,China,Mumbai,Peak,0.0,1.0,1.0,28,Approved
2024-11-16,2024-11-28,Tourist,France,Sydney,Peak,0.0,1.0,1.0,12,Approved
2024-12-13,2025-01-25,Tourist,Australia,Berlin,Off-Peak,1.0,0.0,0.0,43,Denied
2024-03-16,2024-05-10,Work,UK,Sydney,Off-Peak,0.0,1.0,0.0,55,Approved
2024-04-01,2024-06-06,Student,India,Mumbai,Off-Peak,1.0,0.0,1.0,66,Approved
2024-05-14,2024-07-06,Student,Brazil,Delhi,Off-Peak,0.0,,1.0,53,Approved
2024-07-07,2024-09-28,Work,USA,Beijing,Off-Peak,0.0,0.0,0.0,83,Approved
2024-11-13,2025-01-14,Student,Australia,Paris,Peak,1.0,0.0,1.0,62,Denied
2024-05-02,2024-05-26,Business,China,Sydney,Peak,,,1.0,24,Approved
2024-06-22,2024-08-14,Student,France,Beijing,Peak,0.0,0.0,1.0,53,Denied
2024-06-17,2024-09-04,Work,Brazil,Paris,Peak,0.0,0.0,1.0,79,Denied
2024-08-26,2024-09-23,Business,Germany,Delhi,Off-Peak,0.0,1.0,0.0,28,Approved
2024-04-20,2024-05-18,Business,USA,Mumbai,Off-Peak,0.0,,0.0,28,Approved
2024-11-01,2024-12-09,Student,USA,Delhi,Off-Peak,0.0,1.0,,38,Approved
2024-09-22,2024-10-18,Student,Germany,Delhi,Off-Peak,0.0,1.0,1.0,26,Approved
2024-11-28,2024-12-26,Tourist,France,Paris,Off-Peak,1.0,1.0,0.0,28,Approved
2024-04-04,2024-06-07,Student,France,Sydney,Peak,1.0,0.0,1.0,64,Denied
2024-11-05,2025-01-20,Work,India,Sydney,Peak,0.0,,1.0,76,Denied
2024-03-27,2024-05-05,Business,USA,Paris,Off-Peak,1.0,0.0,1.0,39,Approved
2024-09-28,2024-11-14,Tourist,UK,Paris,Off-Peak,1.0,0.0,0.0,47,Approved
2024-03-26,2024-05-18,Student,Germany,Paris,Peak,1.0,1.0,,53,Approved
2024-11-22,2025-02-02,Work,USA,London,Off-Peak,1.0,1.0,0.0,72,Approved
2024-08-04,2024-09-20,Student,Australia,Sydney,Off-Peak,,1.0,0.0,47,Denied
2024-05-07,2024-07-24,Work,India,Sydney,Peak,0.0,0.0,1.0,78,Approved
2024-11-19,2025-01-07,Work,France,Mumbai,Off-Peak,0.0,,1.0,49,Approved
2024-11-29,2025-01-05,Tourist,France,Delhi,Peak,0.0,0.0,1.0,37,Denied
2024-12-19,2025-02-19,Student,Australia,Mumbai,Off-Peak,1.0,0.0,1.0,62,Denied
2024-11-19,2024-12-12,Business,Brazil,Paris,Off-Peak,0.0,,0.0,23,Approved
2024-02-13,2024-04-07,Student,India,Mumbai,Peak,0.0,1.0,0.0,54,Approved
2024-11-14,2024-12-25,Business,UK,Beijing,Off-Peak,1.0,1.0,0.0,41,Denied
2024-04-12,2024-04-29,Tourist,Brazil,London,Off-Peak,0.0,1.0,0.0,17,Denied
2024-11-08,2025-01-14,Business,UK,London,Peak,1.0,0.0,0.0,67,Approved
2024-03-27,2024-06-09,Student,Australia,London,Peak,1.0,0.0,0.0,74,Approved
2024-09-13,2024-12-22,Work,Brazil,Mumbai,Off-Peak,,0.0,0.0,100,Denied
2024-01-11,2024-03-31,Student,Australia,Delhi,Peak,1.0,0.0,0.0,80,Approved
2024-01-19,2024-03-04,Tourist,France,London,Off-Peak,1.0,0.0,0.0,45,Denied
2024-08-14,2024-09-06,Tourist,India,Sydney,Off-Peak,0.0,0.0,1.0,23,Approved
2024-03-08,2024-04-09,Business,Australia,Berlin,Peak,0.0,1.0,0.0,32,Denied
2024-09-15,2024-10-31,Student,France,Berlin,Off-Peak,1.0,1.0,0.0,46,Approved
2024-08-22,2024-09-22,Tourist,Australia,Paris,Off-Peak,1.0,,1.0,31,Approved
2024-10-11,2024-12-31,Work,UK,Berlin,Off-Peak,1.0,0.0,1.0,81,Approved
2024-07-31,2024-09-20,Work,Germany,Delhi,Off-Peak,,1.0,1.0,51,Approved
2024-04-06,2024-05-06,Business,China,Mumbai,Off-Peak,,1.0,0.0,30,Approved
2024-01-09,2024-02-20,Student,Australia,Delhi,Off-Peak,1.0,1.0,1.0,42,Approved
2024-11-24,2024-12-01,Business,Germany,London,Off-Peak,0.0,1.0,1.0,7,Denied
2024-07-04,2024-07-26,Tourist,UK,Sydney,Peak,1.0,,1.0,22,Approved
2024-12-23,2025-02-12,Business,Australia,Berlin,Off-Peak,1.0,0.0,0.0,51,Denied
2024-11-10,2024-12-23,Business,India,Sydney,Off-Peak,0.0,0.0,0.0,43,Approved
2024-11-09,2024-12-05,Student,Brazil,Berlin,Off-Peak,0.0,1.0,1.0,26,Approved
2024-07-13,2024-10-22,Work,UK,Paris,Peak,1.0,0.0,0.0,101,Denied
2024-09-16,2024-10-11,Student,Brazil,Paris,Off-Peak,0.0,1.0,1.0,25,Approved
2024-07-06,2024-08-21,Student,China,Sydney,Peak,0.0,1.0,0.0,46,Approved
2024-07-06,2024-09-29,Student,India,Mumbai,Peak,1.0,0.0,0.0,85,Approved
2024-11-18,2025-01-19,Business,UK,Beijing,Peak,1.0,0.0,1.0,62,Denied
2024-02-11,2024-05-12,Work,Brazil,Delhi,Off-Peak,,,1.0,91,Denied
2024-02-09,2024-05-05,Work,USA,Beijing,Off-Peak,1.0,0.0,1.0,86,Approved
2024-09-28,2024-12-21,Work,China,Beijing,Peak,1.0,,1.0,84,Denied
2024-10-07,2024-10-21,Business,USA,Beijing,Off-Peak,0.0,1.0,1.0,14,Approved
2024-11-03,2024-12-08,Tourist,Germany,London,Off-Peak,1.0,0.0,,35,Approved
2024-04-22,2024-06-08,Business,UK,Berlin,Peak,0.0,,0.0,47,Denied
2024-03-12,2024-05-16,Work,France,Mumbai,Off-Peak,1.0,1.0,1.0,65,Approved
2024-03-05,2024-05-19,Student,China,Delhi,Peak,,0.0,0.0,75,Approved
2024-09-25,2024-10-29,Student,Brazil,Berlin,Peak,0.0,1.0,1.0,34,Approved
2024-06-28,2024-08-26,Business,China,London,Peak,,0.0,1.0,59,Approved
2024-07-15,2024-08-26,Tourist,China,Sydney,Off-Peak,,0.0,1.0,42,Approved
2024-12-04,2025-01-27,Work,China,Mumbai,Off-Peak,0.0,1.0,1.0,54,Approved
2024-02-11,2024-04-18,Student,Brazil,Berlin,Peak,1.0,0.0,,67,Approved
2024-05-08,2024-06-18,Student,Brazil,Delhi,Off-Peak,0.0,1.0,0.0,41,Approved
2024-08-01,2024-08-25,Tourist,India,Mumbai,Off-Peak,0.0,1.0,0.0,24,Denied
2024-10-08,2024-11-16,Business,Germany,Sydney,Peak,0.0,0.0,1.0,39,Approved
2024-03-10,2024-04-16,Tourist,India,Sydney,Peak,0.0,0.0,1.0,37,Approved
2024-02-04,2024-04-28,Student,Australia,Delhi,Peak,1.0,0.0,0.0,84,Denied
2024-04-21,2024-05-28,Business,Australia,London,Off-Peak,0.0,,0.0,37,Denied
2024-09-18,2024-12-20,Work,India,Berlin,Off-Peak,,0.0,0.0,93,Approved
2024-01-16,2024-03-19,Student,India,London,Peak,0.0,0.0,0.0,63,Approved
2024-05-23,2024-07-13,Student,USA,Berlin,Off-Peak,1.0,0.0,1.0,51,Approved
2024-09-15,2024-10-19,Business,China,Paris,Peak,0.0,1.0,0.0,34,Approved
2024-07-11,2024-10-11,Work,USA,Mumbai,Peak,0.0,0.0,0.0,92,Approved
2024-11-02,2024-12-03,Tourist,France,London,Off-Peak,1.0,0.0,1.0,31,Denied
2024-06-03,2024-07-20,Student,USA,London,Peak,,0.0,1.0,47,Approved
2024-02-13,2024-04-05,Student,India,Sydney,Peak,0.0,0.0,1.0,52,Approved
2024-10-10,2024-11-04,Business,UK,Berlin,Off-Peak,1.0,1.0,1.0,25,Approved
2024-05-10,2024-06-13,Student,USA,London,Off-Peak,,1.0,0.0,34,Approved
2024-05-27,2024-07-15,Tourist,India,London,Off-Peak,1.0,,0.0,49,Denied
2024-09-05,2024-10-21,Student,Germany,Sydney,Off-Peak,1.0,1.0,0.0,46,Denied
2024-06-12,2024-07-03,Tourist,Brazil,Sydney,Off-Peak,0.0,0.0,1.0,21,Approved
2024-01-05,2024-04-07,Work,Australia,Mumbai,Peak,1.0,0.0,1.0,93,Approved
2024-02-19,2024-03-22,Business,USA,Beijing,Off-Peak,1.0,1.0,1.0,32,Approved
2024-11-12,2024-12-12,Business,India,Paris,Off-Peak,0.0,,1.0,30,Approved
2024-08-28,2024-10-24,Tourist,France,Paris,Peak,1.0,0.0,0.0,57,Denied
2024-05-30,2024-07-07,Student,Australia,Berlin,Peak,0.0,1.0,0.0,38,Approved
2024-08-10,2024-09-29,Tourist,India,Paris,Off-Peak,1.0,0.0,0.0,50,Denied
2024-07-15,2024-09-04,Student,India,Berlin,Peak,1.0,1.0,1.0,51,Denied
2024-04-24,2024-06-10,Tourist,Germany,Berlin,Off-Peak,1.0,0.0,0.0,47,Approved
2024-03-14,2024-05-15,Student,UK,Sydney,Peak,1.0,0.0,1.0,62,Denied
2024-06-23,2024-09-14,Work,Germany,Paris,Peak,1.0,1.0,0.0,83,Approved
2024-02-07,2024-03-23,Student,China,Berlin,Peak,0.0,1.0,0.0,45,Approved
2024-05-15,2024-07-14,Student,UK,Delhi,Peak,1.0,1.0,0.0,60,Approved
2024-05-29,2024-08-12,Student,China,Mumbai,Peak,0.0,,0.0,75,Approved
2024-04-16,2024-05-25,Business,China,Mumbai,Off-Peak,0.0,0.0,1.0,39,Approved
2024-08-09,2024-09-11,Student,India,London,Off-Peak,0.0,1.0,0.0,33,Approved
2024-08-08,2024-09-11,Student,Australia,Paris,Off-Peak,0.0,1.0,0.0,34,Approved
2024-06-19,2024-07-08,Business,France,Sydney,Peak,,1.0,1.0,19,Denied
2024-07-22,2024-09-12,Tourist,China,London,Peak,1.0,,1.0,52,Approved
2024-04-17,2024-06-17,Tourist,China,Delhi,Off-Peak,1.0,0.0,,61,Denied
2024-04-02,2024-04-30,Tourist,China,Berlin,Peak,0.0,1.0,0.0,28,Approved
2024-07-23,2024-09-14,Tourist,France,Mumbai,Off-Peak,1.0,0.0,0.0,53,Denied
2024-08-08,2024-11-12,Work,China,Sydney,Off-Peak,1.0,0.0,0.0,96,Denied
2024-04-17,2024-05-18,Tourist,UK,Delhi,Off-Peak,1.0,1.0,0.0,31,Denied
2024-07-04,2024-09-10,Work,India,Beijing,Off-Peak,1.0,,1.0,68,Approved
2024-04-18,2024-05-25,Business,Australia,Mumbai,Peak,1.0,1.0,1.0,37,Approved
2024-11-19,2025-01-01,Student,China,Delhi,Peak,0.0,1.0,1.0,43,Approved
2024-08-06,2024-09-24,Business,France,Berlin,Peak,1.0,0.0,,49,Denied
2024-06-19,2024-08-21,Student,USA,Paris,Peak,0.0,0.0,0.0,63,Denied
2024-04-25,2024-07-05,Student,Australia,Delhi,Off-Peak,1.0,,0.0,71,Denied
2024-06-25,2024-07-29,Tourist,Germany,Beijing,Peak,0.0,0.0,,34,Approved
2024-05-13,2024-06-28,Student,Germany,Beijing,Peak,0.0,1.0,0.0,46,Approved
2024-08-20,2024-09-14,Business,France,Sydney,Off-Peak,0.0,0.0,1.0,25,Approved
2024-03-09,2024-06-10,Work,Germany,Sydney,Off-Peak,1.0,0.0,0.0,93,Approved
2024-11-08,2024-12-01,Tourist,China,Berlin,Peak,0.0,1.0,0.0,23,Approved
2024-03-29,2024-06-06,Student,USA,Mumbai,Peak,0.0,0.0,,69,Approved
2024-12-12,2025-01-04,Tourist,Australia,London,Off-Peak,1.0,1.0,0.0,23,Denied
2024-10-28,2024-12-09,Tourist,Germany,Beijing,Off-Peak,1.0,0.0,1.0,42,Approved
2024-02-18,2024-03-22,Business,India,Paris,Off-Peak,0.0,0.0,1.0,33,Approved
2024-10-06,2024-11-09,Student,Brazil,Berlin,Peak,0.0,1.0,,34,Approved
2024-05-09,2024-06-09,Business,France,London,Peak,1.0,1.0,1.0,31,Approved
2024-08-14,2024-09-23,Student,UK,Paris,Off-Peak,0.0,,1.0,40,Denied
2024-09-13,2024-10-23,Tourist,Germany,Sydney,Peak,0.0,0.0,0.0,40,Approved
2024-04-03,2024-05-28,Student,India,London,Off-Peak,0.0,0.0,0.0,55,Approved
2024-03-24,2024-06-02,Student,UK,Mumbai,Peak,0.0,0.0,0.0,70,Denied
2024-03-28,2024-06-16,Work,USA,Mumbai,Off-Peak,0.0,0.0,0.0,80,Approved
2024-12-29,2025-02-04,Business,Germany,Beijing,Peak,0.0,1.0,0.0,37,Approved
2024-08-16,2024-10-12,Business,Brazil,Sydney,Peak,,0.0,1.0,57,Approved
